State,Year,County,Processed,Approved,Denied,Non_Processed,Denied_HIC,Num_Paid,Total_Paid ,Avg_Paid,Funeral_Payout,Murder_Claims
Texas,2013,Hardeman,2,,1,,,1,"$13,914.51","$13,914.51",,
Texas,2013,Hardin,65,,12,,,48,"$62,261.23","$1,297.11",,
Texas,2013,Harris,"4,876",,"1,125",,,"2,922","$13,409,376.49","$4,589.11",,
Texas,2013,Harrison,33,,6,,,23,"$72,014.55","$3,131.07",,
Texas,2013,Hartley,2,,0,,,1,"$2,200.65","$2,200.65",,
Texas,2013,Haskell,4,,0,,,3,$561.56,$187.19,,
Texas,2013,Hays,180,,28,,,117,"$183,058.75","$1,564.60",,
Texas,2013,Hemphill,6,,0,,,5,"$6,676.79","$1,335.36",,
Texas,2013,Henderson,34,,6,,,23,"$36,151.22","$1,571.79",,
Texas,2013,Hidalgo,"1,076",,247,,,776,"$1,362,463.62","$1,755.75",,
Texas,2013,Hill,24,,3,,,24,"$12,275.31",$511.47,,
Texas,2013,Hockley,4,,1,,,2,"$30,584.75","$15,292.38",,
Texas,2013,Hood,32,,6,,,16,"$44,698.10","$2,793.63",,
Texas,2013,Hopkins,29,,3,,,19,"$13,973.05",$735.42,,
Texas,2013,Houston,25,,7,,,18,"$50,211.22","$2,789.51",,
Texas,2013,Howard,16,,4,,,12,"$122,489.13","$10,207.43",,
Texas,2013,Hudspeth,9,,3,,,3,"$1,022.13",$340.71,,
Texas,2013,Hunt,105,,30,,,63,"$224,738.87","$3,567.28",,
Texas,2013,Hutchinson,12,,3,,,6,"$22,558.03","$3,759.67",,
Texas,2013,Irion,0,,0,,,0,$0.00,#DIV/0!,,
Texas,2013,Jack,1,,0,,,1,"$5,802.84","$5,802.84",,
Texas,2013,Jackson,4,,1,,,4,"$90,608.90","$22,652.23",,
Texas,2013,Jasper,20,,2,,,14,"$44,732.81","$3,195.20",,
Texas,2013,Jeff Davis,0,,0,,,0,$0.00,#DIV/0!,,
Texas,2013,Jefferson,366,,101,,,220,"$845,686.89","$3,844.03",,
Texas,2013,Jim Hogg,4,,3,,,2,"$61,317.14","$30,658.57",,
Texas,2013,Jim Wells,38,,10,,,21,"$165,779.52","$7,894.26",,
Texas,2013,Johnson,53,,14,,,31,"$96,625.54","$3,116.95",,
Texas,2013,Jones,3,,1,,,3,"$32,924.67","$10,974.89",,
Texas,2013,Karnes,13,,4,,,7,"$6,253.00",$893.29,,
Texas,2013,Kaufman,114,,21,,,68,"$167,840.77","$2,468.25",,
Texas,2013,Kendall,15,,5,,,10,"$15,999.88","$1,599.99",,
Texas,2013,Kenedy,0,,1,,,0,$0.00,#DIV/0!,,
Texas,2013,Kent,3,,0,,,2,$0.00,$0.00,,
Texas,2013,Kerr,38,,8,,,27,"$81,205.97","$3,007.63",,
Texas,2013,Kimble,4,,1,,,3,$205.50,$68.50,,
Texas,2013,King,0,,0,,,0,$0.00,#DIV/0!,,
Texas,2013,Kinney,2,,1,,,1,$0.00,$0.00,,
Texas,2013,Kleberg,33,,9,,,16,"$13,134.67",$820.92,,
Texas,2013,Knox,1,,1,,,0,"$2,852.17",#DIV/0!,,
Texas,2013,La Salle,2,,0,,,4,"$75,781.14","$18,945.29",,
Texas,2013,Lamar,39,,10,,,29,"$58,965.76","$2,033.30",,
Texas,2013,Lamb,8,,2,,,7,"$39,829.76","$5,689.97",,
Texas,2013,Lampasas,20,,2,,,8,"$21,177.62","$2,647.20",,
Texas,2013,Lavaca,14,,2,,,9,"$21,585.51","$2,398.39",,
Texas,2013,Lee,10,,2,,,6,"$8,320.91","$1,386.82",,
Texas,2013,Leon,10,,0,,,11,"$3,427.98",$311.63,,
Texas,2013,Liberty,57,,19,,,30,"$225,448.39","$7,514.95",,
Texas,2013,Limestone,24,,4,,,16,"$107,325.98","$6,707.87",,
Texas,2013,Lipscomb,3,,0,,,2,"$6,669.39","$3,334.70",,
Texas,2013,Live Oak,8,,3,,,6,"$6,892.26","$1,148.71",,
Texas,2013,Llano,16,,1,,,14,"$24,208.86","$1,729.20",,
Texas,2013,Loving,0,,0,,,0,$0.00,#DIV/0!,,
Texas,2013,Lubbock,215,,59,,,138,"$637,318.18","$4,618.25",,
Texas,2013,Lynn,7,,2,,,5,"$76,458.56","$15,291.71",,
Texas,2013,Madison,6,,0,,,3,"$7,198.74","$2,399.58",,
Texas,2013,Marion,8,,1,,,5,"$74,281.29","$14,856.26",,
Texas,2013,Martin,1,,0,,,1,"$6,412.69","$6,412.69",,
Texas,2013,Mason,1,,0,,,1,"$45,513.55","$45,513.55",,
Texas,2013,Matagorda,70,,9,,,50,"$61,620.92","$1,232.42",,
Texas,2013,Maverick,12,,3,,,6,"$75,319.87","$12,553.31",,
Texas,2013,Mcculloch,5,,1,,,5,$4.00,$0.80,,
Texas,2013,Mclennan,230,,71,,,132,"$363,106.74","$2,750.81",,
Texas,2013,Mcmullen,1,,0,,,0,"$1,403.42",#DIV/0!,,
Texas,2013,Medina,31,,5,,,16,"$138,478.06","$8,654.88",,
Texas,2013,Menard,1,,0,,,1,$0.00,$0.00,,
Texas,2013,Midland,148,,24,,,112,"$96,251.64",$859.39,,
Texas,2013,Milam,22,,3,,,13,"$74,705.93","$5,746.61",,
Texas,2013,Mills,1,,0,,,1,"$29,279.47","$29,279.47",,
Texas,2013,Mitchell,4,,0,,,2,"$28,519.92","$14,259.96",,
Texas,2013,Montague,7,,1,,,5,"$13,776.30","$2,755.26",,
Texas,2013,Montgomery,203,,53,,,145,"$616,299.67","$4,250.34",,
Texas,2013,Moore,22,,4,,,15,"$32,363.31","$2,157.55",,
Texas,2013,Morris,7,,1,,,3,"$22,722.22","$7,574.07",,
Texas,2013,Motley,0,,0,,,0,$0.00,#DIV/0!,,
Texas,2013,Nacogdoches,141,,16,,,24,"$71,499.03","$2,979.13",,
Texas,2013,Navarro,76,,20,,,54,"$84,604.28","$1,566.75",,
Texas,2013,Newton,10,,0,,,3,"$19,672.81","$6,557.60",,
Texas,2013,Nolan,6,,4,,,4,"$7,436.90","$1,859.23",,
Texas,2013,Nueces,623,,159,,,416,"$1,290,098.54","$3,101.20",,
Texas,2013,Ochiltree,3,,0,,,2,$0.00,$0.00,,
Texas,2013,Oldham,0,,0,,,1,$0.00,$0.00,,
Texas,2013,Orange,54,,15,,,35,"$83,787.35","$2,393.92",,
Texas,2013,Palo Pinto,27,,10,,,15,"$86,023.77","$5,734.92",,
Texas,2013,Panola,21,,2,,,13,"$40,087.02","$3,083.62",,
Texas,2013,Parker,77,,9,,,54,"$70,636.56","$1,308.08",,
Texas,2013,Parmer,5,,2,,,4,$125.78,$31.45,,
Texas,2013,Pecos,11,,2,,,6,"$24,529.39","$4,088.23",,
Texas,2013,Polk,77,,17,,,55,"$168,360.07","$3,061.09",,
Texas,2013,Potter,564,,140,,,381,"$805,903.48","$2,115.23",,
Texas,2013,Presidio,0,,0,,,0,$0.00,#DIV/0!,,
Texas,2013,Rains,12,,2,,,5,"$2,449.41",$489.88,,
Texas,2013,Randall,42,,12,,,25,"$56,810.43","$2,272.42",,
Texas,2013,Reagan,2,,0,,,2,$0.00,$0.00,,
Texas,2013,Real,5,,0,,,5,"$6,945.00","$1,389.00",,
Texas,2013,Red River,8,,0,,,9,"$50,000.00","$5,555.56",,
Texas,2013,Reeves,5,,2,,,3,"$16,386.27","$5,462.09",,
Texas,2013,Refugio,7,,2,,,4,"$9,404.33","$2,351.08",,
Texas,2013,Roberts,2,,4,,,2,"$5,156.46","$2,578.23",,
Texas,2013,Robertson,37,,12,,,22,"$50,664.43","$2,302.93",,
Texas,2013,Rockwall,18,,3,,,13,"$53,202.82","$4,092.52",,
Texas,2013,Runnels,11,,8,,,0,"$6,368.16",#DIV/0!,,
Texas,2013,Rusk,55,,14,,,26,"$85,939.77","$3,305.38",,
Texas,2013,Sabine,5,,1,,,4,"$16,390.12","$4,097.53",,
Texas,2013,San Augustine,4,,1,,,3,$0.00,$0.00,,
Texas,2013,San Jacinto,12,,1,,,9,"$76,793.74","$8,532.64",,
Texas,2013,San Patricio,49,,11,,,32,"$84,435.10","$2,638.60",,
Texas,2013,San Saba,4,,1,,,3,"$12,625.39","$4,208.46",,
Texas,2013,Schleicher,1,,0,,,0,$0.00,#DIV/0!,,
Texas,2013,Scurry,13,,5,,,7,"$16,095.75","$2,299.39",,
Texas,2013,Shackelford,0,,0,,,0,"$12,220.56",#DIV/0!,,
Texas,2013,Shelby,15,,3,,,7,"$103,064.89","$14,723.56",,
Texas,2013,Sherman,4,,1,,,1,"$27,198.18","$27,198.18",,
Texas,2013,Smith,145,,26,,,107,"$344,808.77","$3,222.51",,
Texas,2013,Somervell,4,,0,,,4,$945.23,$236.31,,
Texas,2013,Starr,34,,7,,,27,"$160,027.99","$5,926.96",,
Texas,2013,Stephens,8,,1,,,4,"$27,850.13","$6,962.53",,
Texas,2013,Sterling,1,,0,,,1,"$36,876.73","$36,876.73",,
Texas,2013,Stonewall,1,,0,,,1,$0.00,$0.00,,
Texas,2013,Sutton,1,,0,,,0,$0.00,#DIV/0!,,
Texas,2013,Swisher,1,,0,,,1,"$22,784.02","$22,784.02",,
Texas,2013,Tarrant,"2,045",,450,,,"1,377","$3,984,482.86","$2,893.60",,
Texas,2013,Taylor,114,,29,,,70,"$380,347.30","$5,433.53",,
Texas,2013,Terrell,1,,0,,,1,$0.00,$0.00,,
Texas,2013,Terry,16,,0,,,10,"$43,631.09","$4,363.11",,
Texas,2013,Throckmorton,0,,0,,,0,$630.36,#DIV/0!,,
Texas,2013,Titus,34,,6,,,28,"$53,100.97","$1,896.46",,
Texas,2013,Tom Green,175,,42,,,117,"$230,061.96","$1,966.34",,
Texas,2013,Travis,"1,790",,352,,,"1,276","$2,938,631.99","$2,303.00",,
Texas,2013,Trinity,11,,3,,,5,"$12,322.49","$2,464.50",,
Texas,2013,Tyler,11,,2,,,7,"$128,838.43","$18,405.49",,
Texas,2013,Upshur,53,,8,,,30,"$49,203.53","$1,640.12",,
Texas,2013,Upton,1,,0,,,2,"$1,164.08",$582.04,,
Texas,2013,Uvalde,36,,4,,,28,"$41,806.65","$1,493.09",,
Texas,2013,Val Verde,24,,8,,,15,"$55,419.20","$3,694.61",,
Texas,2013,Van Zandt,43,,5,,,27,"$170,183.34","$6,303.09",,
Texas,2013,Victoria,82,,20,,,53,"$125,287.05","$2,363.91",,
Texas,2013,Walker,47,,9,,,34,"$183,419.82","$5,394.70",,
Texas,2013,Waller,62,,14,,,35,"$32,721.54",$934.90,,
Texas,2013,Ward,9,,1,,,6,"$14,575.09","$2,429.18",,
Texas,2013,Washington,14,,0,,,13,"$13,708.13","$1,054.47",,
Texas,2013,Webb,207,,60,,,102,"$409,676.29","$4,016.43",,
Texas,2013,Wharton,39,,7,,,28,"$76,238.23","$2,722.79",,
Texas,2013,Wheeler,15,,2,,,9,"$7,514.21",$834.91,,
Texas,2013,Wichita,101,,36,,,62,"$328,950.63","$5,305.66",,
Texas,2013,Wilbarger,7,,0,,,5,"$43,070.24","$8,614.05",,
Texas,2013,Willacy,22,,4,,,17,"$24,516.94","$1,442.17",,
Texas,2013,Williamson,281,,32,,,226,"$449,193.46","$1,987.58",,
Texas,2013,Wilson,23,,5,,,16,"$56,840.14","$3,552.51",,
Texas,2013,Winkler,8,,3,,,6,"$26,508.57","$4,418.10",,
Texas,2013,Wise,46,,2,,,38,"$51,834.42","$1,364.06",,
Texas,2013,Wood,61,,7,,,50,"$161,494.50","$3,229.89",,
Texas,2013,Yoakum,4,,2,,,1,$0.00,$0.00,,
Texas,2013,Young,7,,1,,,6,"$3,659.22",$609.87,,
Texas,2013,Zapata,3,,1,,,1,"$7,969.93","$7,969.93",,
Texas,2013,Zavala,5,,2,,,1,"$22,690.53","$22,690.53",,
Texas,2013,Out Of State,162,,83,,,24,"$445,383.73","$18,557.66",,
Texas,2013,No County,24,,0,,,0,$0.00,#DIV/0!,,
Texas,2013,Funeral,,,,,,,,,"4,272,894.80",
Texas ,2012,Anderson,38,,8,,,30,"$66,045.78","$2,201.53",,
Texas ,2012,Andrews,8,,3,,,5,"$40,618.72","$8,123.74",,
Texas ,2012,Angelina,104,,25,,,75,"$312,000.93","$4,160.01",,
Texas ,2012,Aransas,17,,4,,,8,"$88,751.43","$11,093.93",,
Texas ,2012,Archer,2,,0,,,2,"$4,355.11","$2,177.56",,
Texas ,2012,Armstrong,1,,0,,,2,"$1,800.00",$900.00,,
Texas ,2012,Atascosa,41,,12,,,31,"$118,489.23","$3,822.23",,
Texas ,2012,Austin,22,,4,,,18,"$76,996.57","$4,277.59",,
Texas ,2012,Bailey,6,,1,,,5,"$5,347.24","$1,069.45",,
Texas ,2012,Bandera,13,,5,,,8,"$34,293.70","$4,286.71",,
Texas ,2012,Bastrop,70,,9,,,59,"$288,977.09","$4,897.92",,
Texas ,2012,Baylor,0,,0,,,0,$0.00,#DIV/0!,,
Texas ,2012,Bee,15,,3,,,13,"$132,445.33","$10,188.10",,
Texas ,2012,Bell,346,,54,,,270,"$800,999.14","$2,966.66",,
Texas ,2012,Bexar,"1,955",,682,,,"1,077","$4,846,524.48","$4,500.02",,
Texas ,2012,Blanco,4,,2,,,3,"$2,405.56",$801.85,,
Texas ,2012,Borden,1,,1,,,0,$0.00,#DIV/0!,,
Texas ,2012,Bosque,13,,4,,,8,"$15,259.20","$1,907.40",,
